name,description,price,imageUrl,stock,category
Wireless Bluetooth Headphones,Noise-cancelling over-ear headphones with 30-hour battery life,79.99,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500,25,Electronics
Smart Fitness Watch,Fitness tracking smartwatch with heart rate monitor and GPS,149.99,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,15,Electronics
Portable Bluetooth Speaker,Waterproof speaker with 12-hour playtime and deep bass,49.99,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=500,40,Electronics
Mechanical Gaming Keyboard,RGB backlit mechanical keyboard with blue switches,89.99,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=500,20,Electronics
Wireless Mouse,Ergonomic wireless mouse with adjustable DPI,24.99,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=500,60,Electronics
USB-C Fast Charger,65W GaN fast charger for laptops and phones,34.99,https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=500,50,Electronics
Men's Cotton T-Shirt,Classic fit crew neck t-shirt in soft cotton,19.99,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=500,100,Clothing
Women's Denim Jacket,Vintage-style denim jacket with button closure,59.99,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=500,35,Clothing
Running Shoes,Lightweight running shoes with breathable mesh,74.99,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500,45,Clothing
Slim Fit Jeans,Stretch denim slim fit jeans in dark wash,54.99,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=500,55,Clothing
Wool Blend Sweater,Cozy crewneck sweater for cold weather,44.99,https://images.unsplash.com/photo-1576871337622-98d48d1cf531?w=500,30,Clothing
Leather Belt,Genuine leather belt with classic buckle,29.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=500,70,Clothing
Ceramic Coffee Mug Set,Set of 4 handcrafted ceramic mugs,32.99,https://images.unsplash.com/photo-1514228742587-6b1558fcca3d?w=500,40,Home & Kitchen
Non-Stick Frying Pan,10-inch non-stick frying pan with heat-resistant handle,27.99,https://images.unsplash.com/photo-1584990347449-a2d4c2ecec4f?w=500,25,Home & Kitchen
Cotton Bed Sheets Set,Queen size 4-piece cotton bed sheet set,49.99,https://images.unsplash.com/photo-1522771739844-6a9f6d5f14af?w=500,20,Home & Kitchen
Stainless Steel Water Bottle,Insulated water bottle keeps drinks cold 24 hours,22.99,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=500,80,Home & Kitchen
Scented Candle Set,Set of 3 soy wax candles with relaxing scents,26.99,https://images.unsplash.com/photo-1602874801007-bd456bd41762?w=500,50,Home & Kitchen
Throw Blanket,Soft fleece throw blanket for couch or bed,34.99,https://images.unsplash.com/photo-1616627561950-9f746e330187?w=500,35,Home & Kitchen
Yoga Mat,Non-slip yoga mat with carrying strap,29.99,https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?w=500,45,Sports & Outdoors
Adjustable Dumbbells,Pair of adjustable dumbbells 5-25 lbs each,129.99,https://images.unsplash.com/photo-1638536532686-d610adfc8e5c?w=500,15,Sports & Outdoors
Camping Tent,4-person waterproof camping tent,89.99,https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=500,10,Sports & Outdoors
Insulated Backpack Cooler,Leak-proof insulated cooler backpack for outdoors,54.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=500,20,Sports & Outdoors
Resistance Bands Set,Set of 5 resistance bands for home workouts,19.99,https://images.unsplash.com/photo-1598289431512-b97b0917affc?w=500,60,Sports & Outdoors
